roundID,text,playerID
01JFTQH4B6PXY9FXD2XEWMRTAB,having 2 point facing down with a pointed tail at the left,01JFTQ7DE414MCRH72YDY9YWGX
01JFTQHNJ5EM7VZ4XQKZK7N7AB,"Same as earlier, a small angled rectangle at the top balanced",01JFTQ6AKQHZBEKV03BY9W3067
01JFTQHNJETDGQEHBSCJX7PTG8,sprinkler head,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQHNM4GM7ZZ0GVH4NK14HD,"moose with spikey hair, side view",01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQHNM4GM7ZZ0GVH4NK14HD,is that the one I said was a bird?,01JFTQ6AKQHZBEKV03BY9W3067
01JFTQHNM4GM7ZZ0GVH4NK14HD,yes I think,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQHNJQQRX3PKP62SV6XMK4,pointy cheeks and symmetrical ears (Pikachu),01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQH49W5T8YNZH1MRDH9X94,ready whenever,01JFTQ7DE414MCRH72YDY9YWGX
01JFTQH49W5T8YNZH1MRDH9X94,"it looks like a dog with 3 legs and 2 spikes on it's back, with a big head pointy chin and nose",01JFTQBN88VPJ7V0XQPR2T3WAE
01JFTQH4ATYQJ8QPGNGV414458,?,01JFTQ7DE414MCRH72YDY9YWGX
01JFTQH4ATYQJ8QPGNGV414458,"flat top pyramid facing right, 3 point down, 1 up, 1 left",01JFTQBN88VPJ7V0XQPR2T3WAE
01JFTQH4B4VNJXHWAR271S85YE,?,01JFTQ7DE414MCRH72YDY9YWGX
01JFTQH4B4VNJXHWAR271S85YE,it has the same pants and shoes from earlier but with a flatter head,01JFTQBN88VPJ7V0XQPR2T3WAE
01JFTQHNJ7XP5JF8E5E3J0MABC,looks like a sprinkler head,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQHNJ7XP5JF8E5E3J0MABC,"And again, I don't understand",01JFTQ6AKQHZBEKV03BY9W3067
01JFTQHNJB8TMJ1T871N07TV3Z,sauce pot!,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQHNHRNVXC32A18S1XPBRN,THere's a white rectangle in it,01JFTQ6AKQHZBEKV03BY9W3067
01JFTQHNHNQ8XD63W3ZNWFBSWC,Sorry about that. The one that looks like it has two symmetrical pointy ears and triangle cheeks on each side,01JFTQ6AKQHZBEKV03BY9W3067
01JFTQHNHNQ8XD63W40GP9XXWH,Hello!,01JFTQ6AKQHZBEKV03BY9W3067
01JFTQHNHNQ8XD63W40GP9XXWH,the one that looks like a thick zig zag across the whole image,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQH48TXPC7PX2HFFJ4NZ27,hello can you describe what it looks like,01JFTQ7DE414MCRH72YDY9YWGX
01JFTQH48TXPC7PX2HFFJ4NZ27,it looks like a bug with a tail,01JFTQBN88VPJ7V0XQPR2T3WAE
01JFTQHNHDK4HAEZ083A5Q1GK9,The one that looks like a pan with a handle sticking out the top,01JFTQ6AKQHZBEKV03BY9W3067
01JFTQHNJFD6QN3KZGSGXEEJVG,Dog head,01JFTQ6AKQHZBEKV03BY9W3067
01JFTQHNHCZQCX7XBG7T4BYHNT,hello,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQHNHCZQCX7XBG7T4BYHNT,The one that looks like a little elf with a pointy nose,01JFTQ6AKQHZBEKV03BY9W3067
01JFTQHNJ1F5925X68Q9CGFSTT,white rectangle inside,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQHNJTWKSZ6699WPT0Q60H,small angled rectangle balanced again,01JFTQ6AKQHZBEKV03BY9W3067
01JFTQHNKDCJEJBDKF8VD725ME,chimney,01JFTQ6AKQHZBEKV03BY9W3067
01JFTQHNKDCJEJBDKF8VD725ME,to the right again,01JFTQ6AKQHZBEKV03BY9W3067
01JFTQHNM041FGTGERB9990D01,arrow head man running with rectangle,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQH4BBNVZXM6J2K5AMN4G3,Only shape with white hole in it,01JFTQBN88VPJ7V0XQPR2T3WAE
01JFTQHNKCN4KSGS9GBJ1ZTT9R,white rhombus inside,01JFTQ6AKQHZBEKV03BY9W3067
01JFTQHNHVY2X5307DTSN7X2YZ,white rhombus to the top left,01JFTQ6AKQHZBEKV03BY9W3067
01JFTQHNHWA1R7R5YG0P86GZ4N,There's a white triangle inside it,01JFTQ6AKQHZBEKV03BY9W3067
01JFTQHNJGZZMDZXWNB9ZY6SZW,pikachu,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQHNKS7THR4YRJHFTQZ43X,"Triangle cheeks, symmetrical ears",01JFTQ6AKQHZBEKV03BY9W3067
01JFTQH4AG3TPR09GDAQKT47JK,"flat top pyramid going right, 3 point down, 1 up, 1 left",01JFTQBN88VPJ7V0XQPR2T3WAE
01JFTQHNGMYW6KDK39MKHMKK85,pick the one that looks like a dogs head with an ear sticking up,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQHNJHCARRZ0Z503HPYGC6,"Thick zig zag but not with the ears, as if it's on a stand",01JFTQ6AKQHZBEKV03BY9W3067
01JFTQHNKXM33JNKMWH2FW34WW,Looks like a bird with beak pointing upwards,01JFTQ6AKQHZBEKV03BY9W3067
01JFTQH4B1J0PJCSZ8XGY8HWB0,?,01JFTQBN88VPJ7V0XQPR2T3WAE
01JFTQHNHEGB6M74SZ4M0V6GCS,the one that looks like Scooby Doo about to punch someone with his diamond fist,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQHNHEGB6M74SZ4M0V6GCS,lol,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQHNKJRQ2AJCY438ZH3Y9K,running man with arrow head,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQH49VSYWDXZPSDWF2VYTN,what does it looks like,01JFTQ7DE414MCRH72YDY9YWGX
01JFTQH49VSYWDXZPSDWF2VYTN,ok it looks like a pyramid with a pair of pants and shoes lying down,01JFTQBN88VPJ7V0XQPR2T3WAE
01JFTQH49VSYWDXZPSDWF2VYTN,flat top pyramid,01JFTQBN88VPJ7V0XQPR2T3WAE
01JFTQH4AKDSV8AEKVW284AGKE,the descriptions are tough to come up with!,01JFTQBN88VPJ7V0XQPR2T3WAE
01JFTQHNHG73G15M00P685N80G,the one that looks like a donkey head with a sharp haircut,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQHNHG73G15M00P685N80G,side view,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQHNJNP3T8XF6P1NV51QMQ,white triangle inside,01JFTQ6AKQHZBEKV03BY9W3067
01JFTQHNHS33XPBJFQ02WHEZY9,there's a black triangle on top of the rectangle,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQHNHS33XPBJFQ02WHEZY9,Is the triangle upside down?,01JFTQ6AKQHZBEKV03BY9W3067
01JFTQHNHS33XPBJFQ02WHEZY9,yes,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQHNJ9SJ351EMJRFEXFVFN,looks like a man with an arrow head running with a big rectangle,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQHNJ9SJ351EMJRFEXFVFN,You have clicked the correct one twice now and it's said it isn't!,01JFTQ6AKQHZBEKV03BY9W3067
01JFTQHNJDVHVX6QWKMW749KJF,white triangle inside,01JFTQ6AKQHZBEKV03BY9W3067
01JFTQHNK7J7F4R3EWYFB2ST6Q,z with antenna and emo haircut!,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQHNM2M8BN1BHNRSCGH8A2,balancing rectangle on roof,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQHNM2M8BN1BHNRSCGH8A2,"I think we have been a good team, thank you!",01JFTQ6AKQHZBEKV03BY9W3067
01JFTQHNJ0K5QATRYY1SV85K4H,white triangle inside,01JFTQ6AKQHZBEKV03BY9W3067
01JFTQHNKA5S551SD0CDHWVP0S,Thank you!,01JFTQ6AKQHZBEKV03BY9W3067
01JFTQHNKA5S551SD0CDHWVP0S,for sure!,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQHNKA5S551SD0CDHWVP0S,running man with triangle on top of rectangle head,01JFTQ6AKQHZBEKV03BY9W3067
01JFTQHNKP9DX4ZEKN1GC20J9W,thick zig zag,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQH49W5T8YNZH1KTP0FVQV,hello it has a half star tail facing right,01JFTQ7DE414MCRH72YDY9YWGX
01JFTQH4BDEZD939V5CR6ZTR3R,only shapr with a white hole at center,01JFTQ7DE414MCRH72YDY9YWGX
01JFTQH4BDEZD939V5CR6ZTR3R,covered,01JFTQ7DE414MCRH72YDY9YWGX
01JFTQHNJMBBFCXTHS3M7N7S0D,upside down triangle on top,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQHNKQKYESY1J9GNW49SGH,"dog head, nose pointing to the left",01JFTQ6AKQHZBEKV03BY9W3067
01JFTQH4BS2GP846FC5NHJA7TN,good to go,01JFTQBN88VPJ7V0XQPR2T3WAE
01JFTQHNHPZTT42YZF3N2P0D7M,There's an angled rectangle balanced on the top,01JFTQ6AKQHZBEKV03BY9W3067
01JFTQHNJKGJ9YSFM45A0XSKMT,Elvis the elf!,01JFTQ6AKQHZBEKV03BY9W3067
01JFTQHNK477KD09KXGZEK72D7,thick zig zag again,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQHNK9GE8MZJYZYGAX5APH,upside down triangle on top,01JFTQ6AKQHZBEKV03BY9W3067
01JFTQHNKVK93D125VYVWZS214,"Sorry, that was my saucepan!",01JFTQ6AKQHZBEKV03BY9W3067
01JFTQHNKVK93D125VYVWZS214,White rhombus inside,01JFTQ6AKQHZBEKV03BY9W3067
01JFTQHNKVK93D125VYVWZS214,lol,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQHNHMTK8W4PD2VX5QWTWC,it looks like a side view of a toilet,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQHNJSSDK4G2ZYT3HHC4H5,left facing dog,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQHNJVX0TBD39FBSJZPDJD,sauce pot!,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQHNKGB92PXJQVFERBCCKX,rhombus inside,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQH4AV775PQ6EGBZJNWV2B,3 point facing down 1 point facing down at the tail and a flat face to the right,01JFTQ7DE414MCRH72YDY9YWGX
01JFTQHNM1XR2JSF376Y7PNR5C,chimney to the right,01JFTQ6AKQHZBEKV03BY9W3067
01JFTQH49TQ3YZEH0XVHGG3M00,ready whenever,01JFTQBN88VPJ7V0XQPR2T3WAE
01JFTQH49TQ3YZEH0XVHGG3M00,only one with a half triangle facing down,01JFTQ7DE414MCRH72YDY9YWGX
01JFTQHNKTJ1THNE52Q1WRCD2Q,looks like a garage on the bottom with a left pointing arrow on top,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQHNKYYY7XWBQ2ACSQ67A3,z with haircut,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQHNKZJ5MNE8FFZEQK7SFY,Scooby Doo!,01JFTQ6AKQHZBEKV03BY9W3067
01JFTQHNHQ065XN3T1ZHC0FJTJ,looks like a Z with antenna and a haircut,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQHNKW2ASZGRG0CMFV90MP,looks like a cartoon boy head with a spikey hair sticking out,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQHNKW2ASZGRG0CMFV90MP,big cheeks,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQHNKW2ASZGRG0CMFV90MP,and ear pointing out,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQH4BDEZD939V5DK174HZQ,here,01JFTQ7DE414MCRH72YDY9YWGX
01JFTQH4BDEZD939V5DK174HZQ,It is the only shape with a white five sided hole in it,01JFTQBN88VPJ7V0XQPR2T3WAE
01JFTQH4BR81SYRTK3DEQ227SC,white hole in the middle,01JFTQBN88VPJ7V0XQPR2T3WAE
01JFTQHNHF8GQMGYS5443AYW9Z,"The one that has zig zags at the bottom, about 5 of them",01JFTQ6AKQHZBEKV03BY9W3067
01JFTQHNJR4J2NX1XPR7DZ2TNV,sprinkler head!,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQHNJR4J2NX1XPR7DZ2TNV,with zig zags on bottom,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQHNJR4J2NX1XPR7DZ2TNV,"Please give another clue, I got that wrong last time",01JFTQ6AKQHZBEKV03BY9W3067
01JFTQHNK6VB40P56NE9EDCS50,white rectangle inside,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQHNKHA2JE1YRW6MGVGCQX,Z with pointy ears,01JFTQ6AKQHZBEKV03BY9W3067
01JFTQHNJP5GTBE7N1RSARWD2A,Pointy nose elf with Elvis hair,01JFTQ6AKQHZBEKV03BY9W3067
01JFTQHNKF5540XDT4T3DCQ6EF,rectangle inside,01JFTQ6AKQHZBEKV03BY9W3067
01JFTQHNM3Y638SVAJ0WYPFERS,Scooby!,01JFTQ6AKQHZBEKV03BY9W3067
01JFTQH4AXKP5FE318MKQNKA8D,"3 points facing down, 2 facing right, 1 facing up, 1 facing left",01JFTQBN88VPJ7V0XQPR2T3WAE
01JFTQHNJW2EFTB4858Y4FF9EN,Scooby!,01JFTQ6AKQHZBEKV03BY9W3067
01JFTQHNKK9RN3XFBBWGG65S8C,moose head with spike,01JFTQBKEAQS4MY2SJD97PSZJV
01JFTQHNKNRCTPXV6672CGTD4Q,chimney pointing up on right side,01JFTQ6AKQHZBEKV03BY9W3067
01JFTQHNKMR712XQ1YJD64Q26P,upside down triangle on top of rectangle,01JFTQBKEAQS4MY2SJD97PSZJV
