roundID,correct,gameID,index,numTrials,repNum,response,target,targetNum,trialNum,tangramURLs,contextStructure,kept_game,playerID,contextStructure_f,text,total_num_words,total_num_chars,actualPlayerCount,batchID,contextSize,status,targets,rotation,sampled_game
01JHDTFN5NQ72H3WE3SSPX61CQ,TRUE,01JHDSENAEPD9Q0CA36C3V4EG2,55,65,3,/tangrams/246_381.png,/tangrams/246_381.png,8,55,"[""/tangrams/378_108.png"",""/tangrams/418_61.png"",""/tangrams/414_225.png"",""/tangrams/246_381.png""]",noncomp,TRUE,01JHDS6A9G1R6A4ZMK1Y97YT1F,No Competitor,snowman,1,7,2,01JHDSEKSNXW0NZAB1VJP04TSM,4,ended,"[[446,200],[378,108],[449,177],[414,225],[267,42],[101,93],[400,249],[18,45],[150,56],[246,381],[138,67],[357,465],[454,114],[418,61],[350,14],[11,198]]",180,TRUE
01JHDTFNHW1K9N0DCC02C8P11B,TRUE,01JHDSENAEPD9Q0CA36C3V4EG2,59,65,3,/tangrams/400_249.png,/tangrams/400_249.png,12,59,"[""/tangrams/400_249.png"",""/tangrams/449_177.png"",""/tangrams/414_225.png"",""/tangrams/418_61.png""]",noncomp,TRUE,01JHDS6A9G1R6A4ZMK1Y97YT1F,No Competitor,bowtie,1,6,2,01JHDSEKSNXW0NZAB1VJP04TSM,4,ended,"[[446,200],[378,108],[449,177],[414,225],[267,42],[101,93],[400,249],[18,45],[150,56],[246,381],[138,67],[357,465],[454,114],[418,61],[350,14],[11,198]]",180,TRUE
01JHDTFNBS0DVM9YKB00RHXF81,TRUE,01JHDSENAEPD9Q0CA36C3V4EG2,62,65,3,/tangrams/418_61.png,/tangrams/418_61.png,15,62,"[""/tangrams/400_249.png"",""/tangrams/414_225.png"",""/tangrams/418_61.png"",""/tangrams/357_465.png""]",noncomp,TRUE,01JHDSPQDN7WY29C2Q4JSX4B1A,No Competitor,two teeth,2,9,2,01JHDSEKSNXW0NZAB1VJP04TSM,4,ended,"[[446,200],[378,108],[449,177],[414,225],[267,42],[101,93],[400,249],[18,45],[150,56],[246,381],[138,67],[357,465],[454,114],[418,61],[350,14],[11,198]]",180,TRUE
01JHDTFNFACSG53VVM525P117W,TRUE,01JHDSENAEPD9Q0CA36C3V4EG2,51,65,3,/tangrams/150_56.png,/tangrams/150_56.png,4,51,"[""/tangrams/267_42.png"",""/tangrams/18_45.png"",""/tangrams/418_61.png"",""/tangrams/150_56.png""]",noncomp,TRUE,01JHDS6A9G1R6A4ZMK1Y97YT1F,No Competitor,bbq,1,3,2,01JHDSEKSNXW0NZAB1VJP04TSM,4,ended,"[[446,200],[378,108],[449,177],[414,225],[267,42],[101,93],[400,249],[18,45],[150,56],[246,381],[138,67],[357,465],[454,114],[418,61],[350,14],[11,198]]",180,TRUE
01JHDTFNG6MVE8KHCS4TVWHCET,TRUE,01JHDSENAEPD9Q0CA36C3V4EG2,60,65,3,/tangrams/267_42.png,/tangrams/267_42.png,13,60,"[""/tangrams/357_465.png"",""/tangrams/267_42.png"",""/tangrams/18_45.png"",""/tangrams/246_381.png""]",noncomp,TRUE,01JHDSPQDN7WY29C2Q4JSX4B1A,No Competitor,cat or goat,3,11,2,01JHDSEKSNXW0NZAB1VJP04TSM,4,ended,"[[446,200],[378,108],[449,177],[414,225],[267,42],[101,93],[400,249],[18,45],[150,56],[246,381],[138,67],[357,465],[454,114],[418,61],[350,14],[11,198]]",180,TRUE
01JHDTFN84FMAR8JJB8TMNSB4X,TRUE,01JHDSENAEPD9Q0CA36C3V4EG2,54,65,3,/tangrams/454_114.png,/tangrams/454_114.png,7,54,"[""/tangrams/454_114.png"",""/tangrams/446_200.png"",""/tangrams/357_465.png"",""/tangrams/138_67.png""]",noncomp,TRUE,01JHDSPQDN7WY29C2Q4JSX4B1A,No Competitor,one leg,2,7,2,01JHDSEKSNXW0NZAB1VJP04TSM,4,ended,"[[446,200],[378,108],[449,177],[414,225],[267,42],[101,93],[400,249],[18,45],[150,56],[246,381],[138,67],[357,465],[454,114],[418,61],[350,14],[11,198]]",180,TRUE
01JHDTFNE7ZC44RMAT4ZRAS68Q,TRUE,01JHDSENAEPD9Q0CA36C3V4EG2,61,65,3,/tangrams/350_14.png,/tangrams/350_14.png,14,61,"[""/tangrams/350_14.png"",""/tangrams/11_198.png"",""/tangrams/414_225.png"",""/tangrams/138_67.png""]",noncomp,TRUE,01JHDS6A9G1R6A4ZMK1Y97YT1F,No Competitor,funnel,1,6,2,01JHDSEKSNXW0NZAB1VJP04TSM,4,ended,"[[446,200],[378,108],[449,177],[414,225],[267,42],[101,93],[400,249],[18,45],[150,56],[246,381],[138,67],[357,465],[454,114],[418,61],[350,14],[11,198]]",180,TRUE
01JHDTFNMEHKTRJ1SRYJ849VWC,TRUE,01JHDSENAEPD9Q0CA36C3V4EG2,57,65,3,/tangrams/446_200.png,/tangrams/446_200.png,10,57,"[""/tangrams/378_108.png"",""/tangrams/267_42.png"",""/tangrams/446_200.png"",""/tangrams/11_198.png""]",noncomp,TRUE,01JHDS6A9G1R6A4ZMK1Y97YT1F,No Competitor,symmetric left chunk,3,20,2,01JHDSEKSNXW0NZAB1VJP04TSM,4,ended,"[[446,200],[378,108],[449,177],[414,225],[267,42],[101,93],[400,249],[18,45],[150,56],[246,381],[138,67],[357,465],[454,114],[418,61],[350,14],[11,198]]",180,TRUE
01JHDTFNJQJD2X46BCV1WGZGAP,TRUE,01JHDSENAEPD9Q0CA36C3V4EG2,58,65,3,/tangrams/378_108.png,/tangrams/378_108.png,11,58,"[""/tangrams/138_67.png"",""/tangrams/449_177.png"",""/tangrams/400_249.png"",""/tangrams/378_108.png""]",noncomp,TRUE,01JHDSPQDN7WY29C2Q4JSX4B1A,No Competitor,square on right side,4,20,2,01JHDSEKSNXW0NZAB1VJP04TSM,4,ended,"[[446,200],[378,108],[449,177],[414,225],[267,42],[101,93],[400,249],[18,45],[150,56],[246,381],[138,67],[357,465],[454,114],[418,61],[350,14],[11,198]]",180,TRUE
01JHDTFP1XH0Z4K7QGFEDJP31F,TRUE,01JHDSENAEPD9Q0CA36C3V4EG2,49,65,3,/tangrams/101_93.png,/tangrams/101_93.png,2,49,"[""/tangrams/150_56.png"",""/tangrams/101_93.png"",""/tangrams/267_42.png"",""/tangrams/378_108.png""]",noncomp,TRUE,01JHDS6A9G1R6A4ZMK1Y97YT1F,No Competitor,whale fish,2,10,2,01JHDSEKSNXW0NZAB1VJP04TSM,4,ended,"[[446,200],[378,108],[449,177],[414,225],[267,42],[101,93],[400,249],[18,45],[150,56],[246,381],[138,67],[357,465],[454,114],[418,61],[350,14],[11,198]]",180,TRUE
