roundID,text,playerID,director_msg,chit_chat
01JH17B9N3E5FP6JB1CD8GA9AM,again the one thats the biggest,01JH16W8EY1V73TD5KGBAMNVQ9,TRUE,FALSE
01JH10G6P0QFWPRS4GDSXTYE9B,the one that look like letter X,01JH0ZZQRJ088VTZ4BK5WZ5MYH,TRUE,FALSE
01JH0ZNXJ9GRWS77K2M19GN73V,2 edges at the top and bottom and a triangle on the left,01JH0ZDNTCH13XZDTNSGWAN5YP,TRUE,FALSE
01JH0ZNXJ9GRWS77K2M19GN73V,hole on right?,01JH0ZGCE0SZNDNF9KEBZD782P,FALSE,FALSE
01JH0ZNXJ9GRWS77K2M19GN73V,no,01JH0ZDNTCH13XZDTNSGWAN5YP,TRUE,TRUE
01JH0ZNXJ9GRWS77K2M19GN73V,its small,01JH0ZDNTCH13XZDTNSGWAN5YP,TRUE,FALSE
01JH0ZNXJ9GRWS77K2M19GN73V,its like a curve,01JH0ZDNTCH13XZDTNSGWAN5YP,TRUE,FALSE
01JH0ZNXJ9GRWS77K2M19GN73V,2 edges at the top,01JH0ZDNTCH13XZDTNSGWAN5YP,TRUE,FALSE
01JH172BYZWFDJW0XK03T4S4XZ,looks like a weird llama carrying furniture behind it,01JH16KE9DJ3AKDCTWNY4P8HY4,TRUE,FALSE
01JH105EXTGKSHHQ0NK9Z8G1SZ,combination of arrow like shape heading right,01JH0ZSK9VP35HG27XV96QGK8P,TRUE,FALSE
01JH0Z605BHP2PA2C4F7PT3BNT,Tree like - triangle base,01JH0YYB8YNEDQSFMX34EKSY7X,TRUE,FALSE
01JH0ZHYET104NRQKA39B3HWEE,"flat bottom, bird on top",01JH0YVPJHJA484R92F8Q7QA88,TRUE,FALSE
01JH150DNHHV3KMR0WGF6A3CQS,"Man with arm across him, cradling baby. Defined jaw line",01JH14NY2S2NX1EZN2C9RWX3P3,TRUE,FALSE
01JH0Z6051WR4J2T34ESGSA055,"Arrow pointing down at bottom, arrow at top pointing up",01JH0YWVP8MYRHJX6GYK4YNCSQ,TRUE,FALSE
01JH0ZW9MGCSGP06Z064W0ED3R,Fully black along top of shape,01JH0ZFF7ZSP75ZGWGR8492XSG,TRUE,FALSE
01JH0ZW9MGCSGP06Z064W0ED3R,upside down house,01JH0ZS6TEEZTSN6DTAG7QZ8YS,FALSE,FALSE
01JH0ZW9NH1QR3DYM4VXMS6NEY,Z shape,01JH0ZFF7ZSP75ZGWGR8492XSG,TRUE,FALSE
01JH10G6NMSA0NZB2601CY072X,its perfectly symetrical horiontally,01JH0ZRRSJTRCZ4ZDNZN1NM18J,TRUE,FALSE
01JH10G6QPC7RA7MQS97YMYB3F,image with snake at the end,01JH0ZZQRJ088VTZ4BK5WZ5MYH,TRUE,FALSE
01JH10G6XFMQD3MF1469YW9EX4,the big hole in it,01JH0ZRRSJTRCZ4ZDNZN1NM18J,TRUE,FALSE
