roundID,gameID,trialNum,playerID,text,director_msg
01M1PW3TE4H097H4QPNJZ6PWPG,01M1PVPVN19AKJQXAJWG447XT1,27,01M1PVV4T08CWVFCAHVD9FMRR2,boat shape over rectangle over four triangle feet,TRUE
01M1PW7ETRJM25XHP1ZNEGJ02T,01M1PVPWZ7KQZN2DHXW0TTKG9P,29,01M1PVVTM3JYE18KKXW2DCV15S,most jagged shape,TRUE
01M1PW7EW0F2MVGTE85DBN23VZ,01M1PVPWZ7KQZN2DHXW0TTKG9P,24,01M1PVZ3NBFP4RQAMM34F5EPHD,fish kissing a diamond,TRUE
01M1PWEJ7VF7Z534GJ53K731V3,01M1PVPXF92SZVFC9KBGN1TRXM,7,01M1PVVCHSJDKDCMNAX28C9KTM,it looks like a fish swimming to the right with a flat edge,TRUE
01M1PW41J09XQVVRHEEKJYC3DA,01M1PVPTMYJEMSH2D4PPK54AQC,43,01M1PVV1FSQ931Q08DC040FF4H,sideways candleabra,TRUE
01M1PWG1EDNGZSPH6YM5M2AMGN,01M1PVPY02TEGASTZW7B0B44PE,19,01M1PW1KKGDQJPNSP87YDPE8Y2,s shape with top T,TRUE
01M1PW50ZC0V48Y042F1REB5MV,01M1PVPVN43CJ2ZQS2FA0GJ1TX,4,01M1PVW97TC4GVFYDVFB1SJ9WH,"It looks like a space ship, with an underlay of a long line and a turned square near it's thruster/exhaust.",TRUE
01M1PW51661HBKZF613B3E0WNK,01M1PVPVN43CJ2ZQS2FA0GJ1TX,21,01M1PVW5BM9J57HJX5KJ260RG3,this is the one with the single diamond at the bottom and a big with septagon in the middle of a black rectangle on top,TRUE
01M1PW51661HBKZF613B3E0WNK,01M1PVPVN43CJ2ZQS2FA0GJ1TX,21,01M1PVW5BM9J57HJX5KJ260RG3,sectagon.... 6 sided thing lol,TRUE
01M1PWEJS832R4SAG0GCNBTBCB,01M1PVPXF92SZVFC9KBGN1TRXM,39,01M1PVVCHSJDKDCMNAX28C9KTM,"scorpion, spikes on right and tail on left",TRUE
01M1PW1ZH7A88RDWJS42GAGSAN,01M1PVPTMX8QBBEQ1CAWS8Y65C,3,01M1PVVDJXTQ0S1H8V336MES03,"side ways M, top is a ]",TRUE
01M1PW2VR2BZ9SHHY290MRBQZ4,01M1PVPTMT2TF5TMW6DY08RG1A,19,01M1PVVTHSCRB56WAFX0KRCSX2,4 triangle peaks,TRUE
01M1PW3TJFTB00WNGFTA61GQZE,01M1PVPVN19AKJQXAJWG447XT1,44,01M1PVVZD69SDYBBAB5MDTZSCB,square 2 triangles,TRUE
01M1PW6KQNMQ1XTAEN0FKD1SJK,01M1PVPWZ82WNHXNHFM772HZSY,15,01M1PVV2HGBFFFP8TQ2JTHYBNF,perfume bottle turned on it's side no space,TRUE
01M1PWGJCATE1CDZB0JP4KT7E5,01M1PVPXF8XP3FTSCWE2SZ4KAJ,38,01M1PW23TCTCTWR44KF0HW1TG2,on the right 3 triangles and a tail at the back,TRUE
01M1PWGJCATE1CDZB0JP4KT7E5,01M1PVPXF8XP3FTSCWE2SZ4KAJ,38,01M1PW23TCTCTWR44KF0HW1TG2,crocket U shape,TRUE
01M1PW157WMB3XTCPJXYG7RT7S,01M1PVPSFBNZXW40G11G9DGVKY,41,01M1PVTZDZSFSRFW0Y011447D5,Dino shape,TRUE
01M1PW615DK1V9XPEK8A51RZNP,01M1PVPWEFJ67VYTWGSHJ4XJ33,28,01M1PVW7YQ0ZCTA6RRXWJ4B3KT,white hexagon,TRUE
01M1PWBQRRZQSCFGR7858AWBKD,01M1PVPY0135RYKX6QNWJW9HQ7,2,01M1PVW5G591MZ9WXE41XZDX0Y,diamond on the bottom,TRUE
01M1PWG1JDDZSGA5782V1RSKJC,01M1PVPY02TEGASTZW7B0B44PE,11,01M1PW1KKGDQJPNSP87YDPE8Y2,winged right,TRUE
01M1PWG1JDDZSGA5782V1RSKJC,01M1PVPY02TEGASTZW7B0B44PE,11,01M1PWAKPMFG2PF8ZD5WBT5ANA,i need more than that,FALSE
01M1PWG1JDDZSGA5782V1RSKJC,01M1PVPY02TEGASTZW7B0B44PE,11,01M1PW1KKGDQJPNSP87YDPE8Y2,s with lines,TRUE
01M1PW1ZGMN2DQPWC8GZH415ES,01M1PVPTMX8QBBEQ1CAWS8Y65C,9,01M1PVVDJXTQ0S1H8V336MES03,"left side half a 0, right side spiky comb facing right side",TRUE
01M1PW3TDSJ50ZQKCNEYFGNQB2,01M1PVPVN19AKJQXAJWG447XT1,26,01M1PVVZD69SDYBBAB5MDTZSCB,4 triangle feet,TRUE
01M1PW5128R503BCXV9BRHPYDF,01M1PVPVN43CJ2ZQS2FA0GJ1TX,35,01M1PVW5BM9J57HJX5KJ260RG3,this is the one your described as a jet or plane with...,TRUE
01M1PW6143C4P94WE36A0DCZ4R,01M1PVPWEFJ67VYTWGSHJ4XJ33,37,01M1PVV71QMXF31FNN88616S34,side ways m,TRUE
01M1PW8ZHPHC9G0KGNPHCJ1RZC,01M1PVPWZ383HA8RRK2RFSW236,34,01M1PW2K6B8GZQ5Z02B5Q0TB2A,4 spikes,TRUE
01M1PW2VSG9YNMDVSKFEJ9CJQ4,01M1PVPTMT2TF5TMW6DY08RG1A,14,01M1PVVYCG3ZV9Y0QVDS434K08,triangel pointing left on the far right,TRUE
01M1PW6Y63DD31HJNSDD68BT9N,01M1PVPWEJQS052PE7X7E1TZK9,19,01M1PVVX5KFM5CFX55QQRWNDX8,boat on pincers,TRUE
01M1PW0KHHQJ2Q16WW2XSW12FK,01M1PVPSF9NDAT0BF7G6FNHKYQ,44,01M1PVTRYDJNHHT05DKBKN76E5,table legs with jagged,TRUE
01M1PW41D3CVJV8Z3ZFVWNGWBP,01M1PVPTMYJEMSH2D4PPK54AQC,14,01M1PVXZCG5HBAN48J4YM7CT4J,looks like logo. central column shape with two semi circles either side,TRUE
01M1PW513MTPQWGJN76GTZ32JK,01M1PVPVN43CJ2ZQS2FA0GJ1TX,32,01M1PVW97TC4GVFYDVFB1SJ9WH,The large Z with the flag frills on either side.,TRUE
01M1PW5R2DWVZYWNGBXCDVMWTV,01M1PVPWEGF3RQQ2BZJMHJW5WT,10,01M1PVZMF178XCTABPVTWNQQ3Q,top like a shit bottom like premolar,TRUE
01M1PW1ZGYFPAW1Y36TR9R73S9,01M1PVPTMX8QBBEQ1CAWS8Y65C,6,01M1PVVEHT22G3NCF8EGPQWRYM,middle has a large white cutout shape,TRUE
01M1PW1ZKX29C43BN004ZHPPPS,01M1PVPTMX8QBBEQ1CAWS8Y65C,33,01M1PVVDJXTQ0S1H8V336MES03,rectangle in middle,TRUE
