roundID,text,playerID,director
01J1G2J4SQ4RSZ8S0KJM61T8HQ,shaped like a person's head with a bob,01J1G2AW8JR5Q9P9WX8DF1C7DP,t
01J1G2J4SQ4RSZ8S0KJM61T8HQ,or a tree on a small hill,01J1G2AW8JR5Q9P9WX8DF1C7DP,t
01J1G2JBR9C2PRS08YBFPW09W9,it has spikes on the top,01J1G28YDBHJP9AHTMTEE3RA7E,t
01J1G2JBR9C2PRS08YBFPW09W9,with a triangle in dent at the bottom,01J1G28YDBHJP9AHTMTEE3RA7E,t
01J1G2JBRAKRWR59S6ZBNAKJJP,spikes on top with wine glass bottom,01J1G20MXD2JXJMM31WQFG1M43,t
01J1G2JBRAKRWR59S6ZBNAKJJP,what does it look like,01J1G28YDBHJP9AHTMTEE3RA7E,f
01J1G2JBRB7XTM0H53505JYDG1,spikes on top with a thin tree like bottom,01J1G28YDBHJP9AHTMTEE3RA7E,t
01J1G2JBRMR6T2T12RHWCTNG95,flat long top and triangle hollow bottom,01J1G28YDBHJP9AHTMTEE3RA7E,t
01J1G2JBRMR6T2T12RJNG3MEJV,"helmet top, bottom right hollow",01J1G20MXD2JXJMM31WQFG1M43,t
01J1G2JBRNXQ6TW3TYZX0YBEM1,"flat top, right hollow bottom",01J1G20MXD2JXJMM31WQFG1M43,t
01J1G2JBRPZMPDRRYV7Q1BQ26Q,"castle top, triangle hollow bottom",01J1G20MXD2JXJMM31WQFG1M43,t
01J1G2JBRPZMPDRRYV8GVJTV6D,"spike top, triangle hollow bottom",01J1G20MXD2JXJMM31WQFG1M43,t
01J1G2JBRQN7JTT1ES9ZWPN2J3,castle top with right side being hollow,01J1G28YDBHJP9AHTMTEE3RA7E,t
01J1G2JBRQN7JTT1ESAYGQ6CWM,"straight top, tree bottom",01J1G20MXD2JXJMM31WQFG1M43,t
01J1G2JBRRN2QSY1DWZW7P99JE,helmet top with tree like bottom,01J1G28YDBHJP9AHTMTEE3RA7E,t
01J1G2JBRRN2QSY1DX0NANFN38,"darth vadar helmet, straight bottom",01J1G20MXD2JXJMM31WQFG1M43,t
01J1G2JBRSYN3152BWAMK668JM,castle top with wine like bottom,01J1G28YDBHJP9AHTMTEE3RA7E,t
01J1G2JBRSYN3152BWBEKQ7DA4,helmet with hollow triangle bottom,01J1G28YDBHJP9AHTMTEE3RA7E,t
01J1G2JBRT414GHXNN6Q4VPZAB,castle top tree bottom,01J1G28YDBHJP9AHTMTEE3RA7E,t
01J1G2JBRVZQMFP25GY75P6DD8,straight top and bottom,01J1G20MXD2JXJMM31WQFG1M43,t
01J1G2JBRVZQMFP25GZ2AK8MVM,flat straight top and bottom,01J1G28YDBHJP9AHTMTEE3RA7E,t
01J1G2JBRWXWR3DE53QXM9PJQH,"spike top, straight bottom",01J1G20MXD2JXJMM31WQFG1M43,t
01J1G2JBRWXWR3DE53RQ90KV98,"straight top, right hollow bottom",01J1G20MXD2JXJMM31WQFG1M43,t
01J1G2JBRXKDRDVW80NPMSHBJD,castle top and tree like bottom,01J1G28YDBHJP9AHTMTEE3RA7E,t
01J1G2JBRYYZX3ZGJPW5B3QHGC,"spiked top, hollow triangle bottom",01J1G20MXD2JXJMM31WQFG1M43,t
01J1G2JBRYYZX3ZGJPWYWS64MK,helmet top with flat bottom,01J1G28YDBHJP9AHTMTEE3RA7E,t
01J1G2JBRZPZ423W1EG4RREZ21,"helmet top, tree bottom",01J1G20MXD2JXJMM31WQFG1M43,t
01J1G2JBRZPZ423W1EH36Q2ZGZ,castle top bottom right hollow,01J1G28YDBHJP9AHTMTEE3RA7E,t
01J1G2JBS0H1YV0Y95TVBWC7JW,castle top flat bottom,01J1G28YDBHJP9AHTMTEE3RA7E,t
01J1G2JBS1JQ24R4FK07XCN0D3,"spike top, right hollow bottom",01J1G20MXD2JXJMM31WQFG1M43,t
01J1G2JBS2FR14G92DCXQMX0T8,helmet top bottom right hollow,01J1G28YDBHJP9AHTMTEE3RA7E,t
